# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
#     z(km)      p(mb)        T(K)    air(cm-3)    o3(cm-3)     o2(cm-3)    h2o(cm-3)    co2(cm-3)     no2(cm-3)   ch4(cm-3)
   6.3   470.5   253.25   1.34552801285e+19   914320504719.0   2.81215354685e+18   1.50351e+16   4.77662444561e+15   4.30531608998e+12   2.24102422937e+13
   5.94   493.5   254.95   1.40189251202e+19   901481838966.0   2.92995535013e+18   1.58904e+16   4.97671841768e+15   4.48605071054e+12   2.34317449305e+13
   5.63   514.5   257.25   1.44848020937e+19   891365462839.0   3.02732363758e+18   1.25758e+16   5.14210474326e+15   4.63513666998e+12   2.42762360233e+13
   5.39   531.0   259.05   1.48454542002e+19   872122969826.0   3.10269992785e+18   1.09795e+16   5.27013624108e+15   4.75054534407e+12   2.49487441139e+13
   5.0   559.5   261.55   1.54927292618e+19   852528773464.0   3.23798041572e+18   1.80591e+16   5.49991888795e+15   4.95767336378e+12   2.61283875099e+13
   4.44   601.0   265.45   1.63973745684e+19   833761821616.0   3.4270512848e+18   2.78136e+16   5.8210679718e+15   5.2471598619e+12   2.77437092413e+13
   3.8   652.5   270.7   1.74572099606e+19   820249133338.0   3.64855688177e+18   3.49441e+16   6.19730953602e+15   5.5863071874e+12   2.9602778996e+13
   3.3   694.5   274.85   1.83003362392e+19   801491371648.0   3.82477027399e+18   4.03097e+16   6.49661936491e+15   5.85610759653e+12   3.10847387863e+13
   3.0   721.0   276.75   1.88681884545e+19   780728964458.0   3.94345138698e+18   4.71727e+16   6.69820690134e+15   6.03782030543e+12   3.2072496172e+13
   2.35   780.5   279.85   2.01990144791e+19   788170664678.0   4.22159402614e+18   6.51141e+16   7.1706501401e+15   6.46368463333e+12   3.4337205421e+13
   1.93   822.0   281.45   2.11520828746e+19   784726046914.0   4.42078532079e+18   5.22025e+16   7.50898942048e+15   6.76866651987e+12   3.59578930544e+13
   1.8   834.5   281.45   2.14737386361e+19   775634273129.0   4.48801137494e+18   1.62269e+16   7.62317721581e+15   6.87159636354e+12   3.65049692172e+13
   1.68   847.0   281.25   2.18108931082e+19   774296473864.0   4.55847665961e+18   4.38343e+15   7.7428670534e+15   6.97948579462e+12   3.70783001052e+13
   1.56   859.5   280.55   2.21880008271e+19   773561088966.0   4.63729217287e+18   9.98864e+15   7.87674029363e+15   7.10016026468e+12   3.77195332161e+13
   1.35   882.0   279.25   2.28748351775e+19   783082162790.0   4.7808405521e+18   5.20409e+16   8.12056648801e+15   7.3199472568e+12   3.88872181971e+13
   1.09   910.0   279.35   2.35925713572e+19   791549864776.0   4.93084741365e+18   1.04692e+17   8.3753628318e+15   7.5496228343e+12   4.01073713072e+13
   0.78   945.5   281.85   2.42955119443e+19   795360705758.0   5.07776199636e+18   1.34374e+17   8.62490674023e+15   7.77456382218e+12   4.13023703053e+13
   0.46   983.0   284.75   2.50018620862e+19   797987114380.0   5.22538917602e+18   1.58379e+17   8.8756610406e+15   8.00059586758e+12   4.25031655465e+13
   0.23   1010.0   287.05   2.54827555462e+19   797230329542.0   5.32589590916e+18   1.66342e+17   9.04637821891e+15   8.15448177479e+12   4.33206844286e+13
   0.11   1024.5   288.75   2.56964151428e+19   793266404807.0   5.37055076485e+18   2.1277e+17   9.1222273757e+15   8.2228528457e+12   4.36839057428e+13
   0.0   1038.0   289.55   2.59630896341e+19   797164356771.0   5.42628573353e+18   2.634e+17   9.21689682011e+15   8.30818868291e+12   4.4137252378e+13
