 5.8448e-03 9.8772e-04 1.5298e-04 2.1881e-05 2.8904e-06
 6.3410e-03 1.0719e-03 1.6618e-04 2.3825e-05 3.1605e-06
 6.8110e-03 1.1517e-03 1.7868e-04 2.5667e-05 3.4178e-06
 7.2489e-03 1.2259e-03 1.9032e-04 2.7382e-05 3.6590e-06
 7.6497e-03 1.2939e-03 2.0096e-04 2.8954e-05 3.8816e-06
 8.0101e-03 1.3550e-03 2.1054e-04 3.0371e-05 4.0842e-06
 8.3280e-03 1.4089e-03 2.1900e-04 3.1629e-05 4.2665e-06
 8.6030e-03 1.4556e-03 2.2635e-04 3.2731e-05 4.4286e-06
 8.8363e-03 1.4952e-03 2.3262e-04 3.3683e-05 4.5714e-06
 9.0300e-03 1.5283e-03 2.3788e-04 3.4495e-05 4.6962e-06
 9.1873e-03 1.5552e-03 2.4221e-04 3.5180e-05 4.8047e-06
 9.3122e-03 1.5767e-03 2.4573e-04 3.5753e-05 4.8984e-06
 9.4092e-03 1.5935e-03 2.4855e-04 3.6229e-05 4.9790e-06
 9.4827e-03 1.6064e-03 2.5076e-04 3.6620e-05 5.0480e-06
 9.5371e-03 1.6160e-03 2.5248e-04 3.6940e-05 5.1067e-06
 9.5765e-03 1.6231e-03 2.5380e-04 3.7201e-05 5.1565e-06
 9.6042e-03 1.6283e-03 2.5481e-04 3.7412e-05 5.1984e-06
 9.6233e-03 1.6319e-03 2.5557e-04 3.7581e-05 5.2334e-06
 9.6361e-03 1.6345e-03 2.5613e-04 3.7716e-05 5.2622e-06
 9.6445e-03 1.6362e-03 2.5656e-04 3.7823e-05 5.2858e-06
 9.6500e-03 1.6374e-03 2.5687e-04 3.7907e-05 5.3049e-06
 9.6534e-03 1.6382e-03 2.5710e-04 3.7972e-05 5.3200e-06
 9.6555e-03 1.6388e-03 2.5726e-04 3.8021e-05 5.3318e-06
 9.6568e-03 1.6391e-03 2.5738e-04 3.8058e-05 5.3410e-06
 9.6576e-03 1.6394e-03 2.5747e-04 3.8085e-05 5.3479e-06
 9.6580e-03 1.6395e-03 2.5753e-04 3.8105e-05 5.3530e-06
 9.6583e-03 1.6396e-03 2.5757e-04 3.8119e-05 5.3567e-06
 9.6585e-03 1.6397e-03 2.5759e-04 3.8128e-05 5.3594e-06
 9.6586e-03 1.6397e-03 2.5761e-04 3.8135e-05 5.3613e-06
 9.6586e-03 1.6397e-03 2.5762e-04 3.8139e-05 5.3626e-06
 9.6587e-03 1.6398e-03 2.5763e-04 3.8142e-05 5.3635e-06
 9.6587e-03 1.6398e-03 2.5764e-04 3.8144e-05 5.3640e-06
 9.6587e-03 1.6398e-03 2.5764e-04 3.8145e-05 5.3644e-06
 9.6587e-03 1.6398e-03 2.5764e-04 3.8146e-05 5.3646e-06
 9.6587e-03 1.6398e-03 2.5764e-04 3.8146e-05 5.3648e-06
 9.6587e-03 1.6398e-03 2.5764e-04 3.8147e-05 5.3649e-06
